"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"2672","","","V1","C","","00:00:26:18","00:00:33:14","01:47:02:04","01:47:09:00","306-lss-998","","00:00:00:00","00:03:46:15","00:03:46:15","H.264","24.000","1920x1080","Cocoa","","",""
"2673","","","A1","C","","00:16:49:04","00:16:50:08","01:47:02:13","01:47:03:17","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2674","","","A1","C","","00:15:15:05","00:15:16:03","01:47:03:17","01:47:04:15","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2675","","","A1","C","","00:15:17:02","00:15:18:14","01:47:04:15","01:47:06:02","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2676","","","A1","C","","00:15:10:16","00:15:12:02","01:47:06:02","01:47:07:13","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2677","","","A1","D","2","01:47:06:02","01:47:06:04","01:47:06:02","01:47:06:04","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2678","","","A1","C","","00:15:57:22","00:15:59:16","01:47:07:13","01:47:09:07","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2679","","","V1","C","","00:16:03:21","00:16:12:15","01:47:09:00","01:47:17:19","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","1920x1080","Blue","","",""
"2680","","","A1","C","","00:16:04:03","00:16:13:07","01:47:09:07","01:47:18:11","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2681","","","V1","C","","00:00:00:15","00:00:05:15","01:47:17:19","01:47:22:19","Hitchcock Tournage 01","","00:00:00:00","00:00:07:00","00:00:07:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2682","","","A1","C","","00:11:09:23","00:11:12:17","01:47:18:11","01:47:21:05","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2683","","","A1","C","","00:11:14:01","00:11:15:10","01:47:21:05","01:47:22:14","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2684","","","A1","C","","00:11:17:08","00:11:20:07","01:47:22:14","01:47:25:13","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","","Blue","","",""
"2685","","","V1","C","","00:11:17:13","00:11:20:07","01:47:22:19","01:47:25:13","00033","","00:00:00:00","00:17:16:20","00:17:16:20","AVCHD","25.000","1920x1080","Blue","","",""
"2686","","","V1","C","","00:02:32:01","00:02:33:07","01:47:25:13","01:47:26:19","nada842-ada3509_vis_05001212_05090212","","00:00:00:00","00:08:50:04","00:08:50:04","H.264","25.000","640x524","","","",""
"2687","","","A5","C","","00:00:22:17","00:00:23:15","01:47:25:13","01:47:26:11","61 Electricity,Spark High Voltage Spark","","00:00:00:00","00:00:35:21","00:00:35:21","","25.000","","","","",""
"2688","","","A6","C","","01:00:00:12","01:00:01:19","01:47:25:13","01:47:26:20","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"2689","","","A7","C","","00:00:00:00","00:00:12:00","01:47:25:13","01:47:37:13","43 Applause,Cheering Outdoor_Stadium,Medium Crowd","","00:00:00:00","00:00:29:07","00:00:29:07","","25.000","","","","",""
"2690","","","A1","C","","00:00:08:02","00:00:22:06","01:47:25:21","01:47:40:00","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","","","","",""
"2691","","","A1","D","7","01:47:25:21","01:47:26:03","01:47:25:21","01:47:26:03","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2692","","","V4","C","","01:47:26:03","01:47:28:05","01:47:26:03","01:47:28:05","Solid Color","","","","","","0.000","","","","",""
"2693","","","A5","C","","01:00:02:17","01:00:05:05","01:47:26:11","01:47:28:24","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"2694","","","V1","C","","00:00:01:08","00:00:03:19","01:47:26:19","01:47:29:05","gettyimages-938751412-640_adpp","","00:00:00:00","00:00:11:00","00:00:11:00","H.264","25.000","640x360","","","",""
"2695","","","V1","C","","00:01:08:05","00:01:08:22","01:47:29:05","01:47:29:22","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","768x576","","","",""
"2696","","","V4","C","","01:47:29:06","01:47:32:05","01:47:29:06","01:47:32:05","Solid Color","","","","","","0.000","","","","",""
"2697","","","V1","C","","00:01:30:12","00:01:32:05","01:47:29:22","01:47:31:15","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","768x576","","","",""
"2698","","","V1","C","","00:01:34:13","00:01:36:11","01:47:31:15","01:47:33:13","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","768x576","","","",""
"2699","","","A3","C","","00:01:01:17","00:01:05:20","01:47:31:15","01:47:35:18","15-18 Fire,Forest Forest Fire Crackling,Rumble,Some Roar","","00:00:00:00","00:01:36:17","00:01:36:17","","25.000","","","","",""
"2700","","","A3","D","25","01:47:31:15","01:47:32:15","01:47:31:15","01:47:32:15","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2701","","","V1","C","","00:00:32:22","00:00:33:21","01:47:33:13","01:47:34:12","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","768x576","","","",""
"2702","","","V1","C","","00:01:00:17","00:01:01:12","01:47:34:12","01:47:35:07","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","768x576","","","",""
"2703","","","A3","D","31","01:47:34:12","01:47:35:18","01:47:34:12","01:47:35:18","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2704","","","V1","C","","00:00:31:08","00:00:32:04","01:47:35:07","01:47:36:03","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","768x576","","","",""
"2705","","","V1","C","","00:01:46:24","00:01:49:19","01:47:36:03","01:47:38:23","KLZ244 1942 Saboteur Trailer Priscilla Lane, Robert Cummings, Otto Kruger, Hitchcock","","00:00:00:00","00:01:52:15","00:01:52:15","H.264","25.000","768x576","","","",""
"2706","","","V1","C","","00:00:00:00","00:00:06:10","01:47:38:23","01:47:45:08","Saboteur RKO Keith 01","","00:00:00:00","00:00:08:01","00:00:08:01","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2707","","","A3","C","","00:01:20:15","00:01:30:11","01:47:38:23","01:47:48:19","1-16 Crowd, Outdoor (Medium Crowd_ General Ambience)","","00:00:00:00","00:03:02:18","00:03:02:18","","25.000","","","","",""
"2708","","","A4","C","","00:00:16:18","00:00:26:14","01:47:38:23","01:47:48:19","34-03 Traffic,City Light City Traffic,Wet Road 1","","00:00:00:00","00:02:10:16","00:02:10:16","","25.000","","","","",""
"2709","","","A1","D","25","01:47:39:00","01:47:40:00","01:47:39:00","01:47:40:00","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2710","","","A11","C","","00:00:00:00","00:00:06:02","01:47:43:19","01:47:49:21","VO 200604 (D)-13","","00:00:00:00","00:00:06:02","00:00:06:02","","25.000","","","","",""
"2711","","","V1","C","0","00:00:00:00","00:00:00:00","01:47:45:08","01:47:47:04","1203_BW_00016A","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","1500x1185","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"2712","","","V1","C","0","00:00:00:00","00:00:00:00","01:47:47:04","01:47:48:19","1203_BW_00026A","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","1500x1144","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"2713","","","A4","D","25","01:47:47:19","01:47:48:19","01:47:47:19","01:47:48:19","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2714","","","V1","C","0","00:00:00:00","00:00:00:00","01:47:48:19","01:47:50:15","1203_BW_M0032","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","1500x1173","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"2715","","","A3","C","","00:01:39:21","00:01:49:04","01:47:48:19","01:47:58:02","6-07 Party, Crowd (Indoor_ House Party Adults Voices Laughter Ambience)","","00:00:00:00","00:03:03:01","00:03:03:01","","25.000","","","","",""
"2716","","","V1","C","0","00:00:00:00","00:00:00:00","01:47:50:15","01:47:53:16","1203_BW_00014A","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","1500x1172","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"2717","","","A1","C","","00:00:05:14","00:00:07:21","01:47:50:15","01:47:52:22","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2718","","","A11","C","","00:00:00:00","00:00:04:21","01:47:51:02","01:47:55:23","VO 200604 experience eprouvante","","00:00:00:00","00:00:04:21","00:00:04:21","","25.000","","","","",""
"2719","","","A1","C","","00:00:21:01","00:00:23:08","01:47:52:22","01:47:55:04","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2720","","","V1","C","","00:00:00:08","00:00:04:19","01:47:53:16","01:47:58:02","Hitchcock Truffaut 01","","00:00:00:00","00:00:05:01","00:00:05:01","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2721","","","A1","C","","00:00:33:13","00:00:36:11","01:47:55:04","01:47:58:02","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2722","","","A3","D","25","01:47:57:02","01:47:58:02","01:47:57:02","01:47:58:02","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2723","","","V1","C","","00:00:00:00","00:00:04:04","01:47:58:02","01:48:02:06","041131370_main_xl","","00:00:00:00","00:00:15:12","00:00:15:12","H.264","25.000","640x360","","","",""
"2724","","","A1","C","","00:11:55:13","00:12:01:22","01:47:58:02","01:48:04:11","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2725","","","V1","C","","00:00:04:09","00:00:36:02","01:48:02:06","01:48:33:24","old-reel-reel-tape-recorder-footage-050757889_main_xl","","00:00:00:00","00:01:08:01","00:01:08:01","H.264","25.000","640x360","","","",""
"2726","","","A1","C","","00:12:05:00","00:12:07:16","01:48:04:11","01:48:07:02","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2727","","","A1","C","","00:12:09:07","00:12:15:15","01:48:07:02","01:48:13:09","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2728","","","A1","C","","00:12:19:00","00:12:25:04","01:48:13:09","01:48:19:13","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2729","","","A1","C","","00:12:25:04","00:12:28:02","01:48:19:13","01:48:22:12","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2730","","","A1","C","","00:12:29:17","00:12:31:06","01:48:22:12","01:48:24:01","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2731","","","A1","C","","00:12:32:09","00:12:35:16","01:48:24:01","01:48:27:08","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2732","","","A1","C","","00:12:37:10","00:12:40:18","01:48:27:08","01:48:30:16","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2733","","","A1","D","4","01:48:30:12","01:48:30:16","01:48:30:12","01:48:30:16","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2734","","","A1","C","","00:12:45:06","00:12:46:17","01:48:30:16","01:48:32:02","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2735","","","A1","C","","00:12:48:04","00:12:50:08","01:48:32:02","01:48:34:05","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2736","","","A6","C","","00:00:11:14","00:00:17:13","01:48:33:13","01:48:39:12","3-81 Metal, Hit Low Diffused Metal Hit","","00:00:00:00","00:00:31:06","00:00:31:06","","25.000","","","","",""
"2737","","","V1","C","","00:01:09:22","00:01:11:17","01:48:33:24","01:48:35:19","250176-07","","00:00:00:00","00:08:23:09","00:08:23:09","H.264","25.000","720x540","Green","","",""
"2738","","","A3","C","","00:00:33:04","00:00:46:07","01:48:33:24","01:48:47:02","67 Office - environment - big - hum of voices - phones","","00:00:00:00","00:01:44:20","00:01:44:20","","25.000","","","","",""
"2739","","","A5","C","","01:00:00:12","01:00:06:24","01:48:33:24","01:48:40:11","Hit 01 Boom","","01:00:00:12","01:00:07:00","00:00:06:12","","25.000","","","","",""
"2740","","","A9","C","","00:00:00:16","00:01:36:03","01:48:33:24","01:50:09:11","Her Icy Grave 06","","00:00:00:00","00:01:42:00","00:01:42:00","","25.000","","Green","","",""
"2741","","","A1","C","","00:00:33:13","00:00:37:01","01:48:34:06","01:48:37:19","Hitchcock-Truffaut 14","","00:00:00:00","01:03:08:22","01:03:08:22","","25.000","","","","",""
"2742","","","V1","C","","00:04:22:12","00:04:24:04","01:48:35:19","01:48:37:11","nada1052-ada4513_vis_01232215_01334915","","00:00:00:00","00:10:27:00","00:10:27:00","H.264","25.000","640x524","","","",""
"2743","","X","V6","C","","00:00:04:24","00:00:04:24","01:48:35:19","01:48:47:02","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"2744","","","A11","C","","00:00:00:01","00:00:05:07","01:48:36:01","01:48:41:07","Audio Process Stream","","00:00:00:00","00:00:05:07","00:00:05:07","","25.000","","","","",""
"2745","","","A1","D","25","01:48:36:19","01:48:37:19","01:48:36:19","01:48:37:19","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2746","","","V1","C","","00:00:25:03","00:00:27:04","01:48:37:11","01:48:39:12","178-17","","00:00:00:00","00:06:45:23","00:06:45:23","H.264","29.970","720x480","Cocoa","","",""
"2747","","","V1","C","","00:00:35:20","00:00:37:16","01:48:39:12","01:48:41:09","178-17","","00:00:00:00","00:06:45:23","00:06:45:23","H.264","29.970","720x480","Cocoa","","",""
"2748","","","V1","C","","00:00:37:25","00:00:39:27","01:48:41:09","01:48:43:11","178-17","","00:00:00:00","00:06:45:23","00:06:45:23","H.264","29.970","720x480","Cocoa","","",""
"2749","","","A11","C","","00:00:00:01","00:00:02:11","01:48:43:03","01:48:45:13","Audio Process Stream","","00:00:00:00","00:00:02:11","00:00:02:11","","25.000","","","","",""
"2750","","","V1","C","","00:00:47:22","00:00:51:11","01:48:43:11","01:48:47:02","178-17","","00:00:00:00","00:06:45:23","00:06:45:23","H.264","29.970","720x480","Cocoa","","",""
"2751","","","A6","C","","01:00:00:00","01:00:08:00","01:48:46:07","01:48:54:07","Whoosh 24 Wind","","01:00:00:00","01:00:08:00","00:00:08:00","","25.000","","","","",""
"2752","","","V1","C","","00:00:00:07","00:00:16:07","01:48:47:02","01:49:03:02","1942 Enquêtes 02","","00:00:00:00","00:00:17:08","00:00:17:08","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2753","","","A11","C","","00:00:00:01","00:00:12:21","01:48:49:07","01:49:02:02","Audio Process Stream","","00:00:00:00","00:00:12:22","00:00:12:22","","25.000","","","","",""
"2754","","","A4","C","","01:00:00:00","01:00:06:00","01:49:02:14","01:49:08:14","Hit 03 Grand Hit A","","01:00:00:00","01:00:06:00","00:00:06:00","","25.000","","","","",""
"2755","","","A3","C","","00:01:41:10","00:01:52:00","01:49:03:01","01:49:13:16","10-04 Harbour, Port (Large Port_ General Ambience_ Ship Horns Seagulls Etc.)","","00:00:00:00","00:03:03:24","00:03:03:24","","25.000","","","","",""
"2756","","","A3","D","66","01:49:03:01","01:49:05:17","01:49:03:01","01:49:05:17","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2757","","","V1","C","0","00:00:00:00","00:00:00:00","01:49:03:02","01:49:06:16","80-G-1971 [1943-1943]","","00:00:00:00","00:00:00:01","00:00:00:01","JPEG","25.000","6126x4934","Green","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"2758","","","A11","C","","00:00:00:01","00:00:07:22","01:49:04:02","01:49:11:23","Audio Process Stream","","00:00:00:00","00:00:07:22","00:00:07:22","","25.000","","","","",""
"2759","","","V1","C","0","00:00:05:22","00:00:05:22","01:49:06:16","01:49:08:17","Renflouement 04","","00:00:00:00","00:00:07:00","00:00:07:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"M2","","","","","0.0","00:00:05:22","","","","","","","","","","","","","","",""
"2760","","","V1","C","","00:00:05:16","00:00:00:17","01:49:08:17","01:49:13:16","Renflouement 05","","00:00:00:00","00:00:07:00","00:00:07:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"M2","","","","","-25.0","00:00:05:16","","","","","","","","","","","","","","",""
"2761","","","V1","C","","00:00:00:00","00:00:07:06","01:49:13:16","01:49:20:22","Fritz Scheffer Ici Paris 01","","00:00:00:00","00:00:08:00","00:00:08:00","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2762","","","A11","C","","00:00:00:01","00:00:05:07","01:49:14:07","01:49:19:13","Audio Process Stream","","00:00:00:00","00:00:05:07","00:00:05:07","","25.000","","","","",""
"2763","","","V1","C","","00:00:00:00","00:00:04:00","01:49:20:22","01:49:24:22","Fritz Scheffer Neuchatel 01","","00:00:00:00","00:00:04:01","00:00:04:01","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2764","","","A11","C","","00:00:00:01","00:00:02:16","01:49:21:03","01:49:23:18","Audio Process Stream","","00:00:00:00","00:00:02:16","00:00:02:16","","25.000","","","","",""
"2765","","","A3","C","","00:01:47:03","00:02:03:11","01:49:24:14","01:49:40:22","1-17 Crowd, Outdoor (Medium Crowd_ General Ambience Under Concrete Overhang)","","00:00:00:00","00:03:02:17","00:03:02:17","","25.000","","","","",""
"2766","","","A3","D","25","01:49:24:14","01:49:25:14","01:49:24:14","01:49:25:14","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2767","","","A7","C","","01:00:00:12","01:00:05:05","01:49:24:17","01:49:29:10","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"2768","","","V1","C","","00:00:19:16","00:00:20:11","01:49:24:22","01:49:25:17","Ina MEDIAPRO - RETOUR DE LUCKY LUCIANO ,EX GANGSTER AMERICAIN AFE03002942 1954","","00:00:00:00","00:00:44:00","00:00:44:00","H.264","25.000","512x384","","","",""
"2769","","","A4","C","","00:00:02:16","00:00:03:16","01:49:25:09","01:49:26:09","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"2770","","","A6","C","","00:00:05:06","00:00:06:15","01:49:25:13","01:49:26:22","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"2771","","","V1","C","","00:00:07:20","00:00:08:12","01:49:25:17","01:49:26:09","Ina MEDIAPRO - RETOUR DE LUCKY LUCIANO ,EX GANGSTER AMERICAIN AFE03002942 1954","","00:00:00:00","00:00:44:00","00:00:44:00","H.264","25.000","512x384","","","",""
"2772","","","A5","C","","00:00:00:00","00:00:00:21","01:49:25:18","01:49:26:14","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"2773","","","V1","C","","00:00:22:17","00:00:26:19","01:49:26:09","01:49:30:11","Ina MEDIAPRO - RETOUR DE LUCKY LUCIANO ,EX GANGSTER AMERICAIN AFE03002942 1954","","00:00:00:00","00:00:44:00","00:00:44:00","H.264","25.000","512x384","","","",""
"2774","","","A5","C","","00:00:00:00","00:00:00:21","01:49:26:14","01:49:27:10","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"2775","","","A11","C","","00:00:00:00","00:00:09:04","01:49:26:17","01:49:35:21","VO 200604 (D)-14","","00:00:00:00","00:00:09:04","00:00:09:04","","25.000","","","","",""
"2776","","","A6","C","","00:00:05:06","00:00:06:15","01:49:29:16","01:49:31:00","18-46 Flash Pot Small Powder Flash","","00:00:00:00","00:00:16:04","00:00:16:04","","25.000","","","","",""
"2777","","","A5","C","","00:00:00:00","00:00:00:21","01:49:30:08","01:49:31:04","Camera 2","","00:00:00:00","00:00:00:21","00:00:00:21","","25.000","","","","",""
"2778","","","V1","C","","00:00:00:00","00:00:06:17","01:49:30:11","01:49:37:03","Penthouse 02","","00:00:00:00","00:00:07:01","00:00:07:01","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2779","","","A5","C","","00:00:32:17","00:00:36:11","01:49:33:09","01:49:37:03","16 Fire,Ambience General Ambience At Fire;Fire Trucks,Sirens,Crowd,Fire Scene","","00:00:00:00","00:01:04:07","00:01:04:07","","25.000","","","","",""
"2780","","","A5","D","39","01:49:33:09","01:49:34:23","01:49:33:09","01:49:34:23","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2781","","","A6","C","","00:00:00:10","00:00:01:00","01:49:35:06","01:49:35:21","9-10 Old Telephone Bell Ring, Single, Long","","00:00:00:00","00:00:10:00","00:00:10:00","","25.000","","","","",""
"2782","","","A6","C","","00:00:01:00","00:00:07:05","01:49:35:21","01:49:42:02","9-10 Old Telephone Bell Ring, Single, Long","","00:00:00:00","00:00:10:00","00:00:10:00","","25.000","","","","",""
"2783","","","A7","C","","01:00:00:00","01:00:04:05","01:49:36:01","01:49:40:06","Whoosh 08 Flyby E","","01:00:00:00","01:00:04:05","00:00:04:05","","25.000","","","","",""
"2784","","","A4","C","","00:00:00:00","00:00:09:09","01:49:36:19","01:49:46:03","3-76 Metal, Hit Large Hollow, Rattly Hit, Reverberant","","00:00:00:00","00:00:17:24","00:00:17:24","","25.000","","","","",""
"2785","","","V1","C","","00:03:17:03","00:03:19:00","01:49:37:03","01:49:39:01","Documentary 'Portrait of a President' depicts election and working of Richard Nixon as the President, Washington DC.","","00:00:00:00","00:04:22:07","00:04:22:07","H.264","29.970","640x360","","","",""
"2786","","X","V6","C","","00:00:04:24","00:00:04:24","01:49:37:03","01:49:48:21","Adjustment Clip","","00:00:00:00","00:00:05:00","00:00:05:00","","25.000","","","","",""
"2787","","","A11","C","","00:00:00:01","00:00:04:12","01:49:37:15","01:49:42:01","Audio Process Stream","","00:00:00:00","00:00:04:12","00:00:04:12","","25.000","","","","",""
"2788","","","A5","C","","00:00:02:24","00:00:03:17","01:49:38:20","01:49:39:13","9-16 Old Telephone Pick Up And Hang Up, Three Times","","00:00:00:00","00:00:10:17","00:00:10:17","","25.000","","","","",""
"2789","","","V1","C","","00:02:29:09","00:02:30:13","01:49:39:01","01:49:40:05","Documentary 'Portrait of a President' depicts election and working of Richard Nixon as the President, Washington DC.","","00:00:00:00","00:04:22:07","00:04:22:07","H.264","29.970","640x360","","","",""
"2790","","","A1","C","","00:00:20:29","00:00:35:17","01:49:39:01","01:49:53:17","Counsel John Dean speaks about his meetings with President Richard Nixon before Senate-Watergate Committee, Washington DC.","","00:00:00:00","00:03:04:25","00:03:04:25","H.264","29.970","","","","",""
"2791","","","V1","C","","00:03:29:16","00:03:30:11","01:49:40:05","01:49:41:01","Documentary 'Portrait of a President' depicts election and working of Richard Nixon as the President, Washington DC.","","00:00:00:00","00:04:22:07","00:04:22:07","H.264","29.970","640x360","","","",""
"2792","","","A3","C","","00:00:30:04","00:00:38:18","01:49:40:22","01:49:49:11","67 Office - environment - big - hum of voices - phones","","00:00:00:00","00:01:44:20","00:01:44:20","","25.000","","","","",""
"2793","","","V1","C","","00:02:51:29","00:02:52:27","01:49:41:01","01:49:42:00","Select Committee hearings on campaign activities of Richard Nixon by the Senate-Watergate Committee, Washington DC.","","00:00:00:00","00:02:53:15","00:02:53:15","H.264","29.970","640x360","","","",""
"2794","","","V1","C","","00:00:43:01","00:00:44:00","01:49:42:00","01:49:42:24","Select Committee hearings on campaign activities of Richard Nixon by the Senate-Watergate Committee, Washington DC.","","00:00:00:00","00:02:53:15","00:02:53:15","H.264","29.970","640x360","","","",""
"2795","","","V1","C","","00:00:11:13","00:00:12:27","01:49:42:24","01:49:44:11","Counsel John Dean speaks about his meetings with President Richard Nixon before Senate-Watergate Committee, Washington DC.","","00:00:00:00","00:03:04:25","00:03:04:25","H.264","29.970","640x360","","","",""
"2796","","","A11","C","","00:00:00:01","00:00:08:16","01:49:43:08","01:49:51:23","Audio Process Stream","","00:00:00:00","00:00:08:16","00:00:08:16","","25.000","","","","",""
"2797","","","V1","C","","00:03:02:17","00:03:04:07","01:49:44:11","01:49:46:02","Counsel John Dean speaks about his meetings with President Richard Nixon before Senate-Watergate Committee, Washington DC.","","00:00:00:00","00:03:04:25","00:03:04:25","H.264","29.970","640x360","","","",""
"2798","","","V1","C","","00:03:44:29","00:03:46:15","01:49:46:02","01:49:47:16","Documentary 'Portrait of a President' depicts election and working of Richard Nixon as the President, Washington DC.","","00:00:00:00","00:04:22:07","00:04:22:07","H.264","29.970","640x360","","","",""
"2799","","","V1","C","","00:03:48:14","00:03:49:19","01:49:47:16","01:49:48:21","Documentary 'Portrait of a President' depicts election and working of Richard Nixon as the President, Washington DC.","","00:00:00:00","00:04:22:07","00:04:22:07","H.264","29.970","640x360","","","",""
"2800","","","A3","D","25","01:49:48:11","01:49:49:11","01:49:48:11","01:49:49:11","Cross Fade 0 dB","","","","","","0.000","","","","",""
"2801","","","A4","C","","01:00:00:12","01:00:05:05","01:49:48:16","01:49:53:09","Hit 06 Drum Roll","","01:00:00:12","01:00:05:06","00:00:04:18","","25.000","","","","",""
"2802","","","V1","C","","00:00:00:00","00:00:04:13","01:49:48:21","01:49:53:09","CIA Mafia Normandie 02","","00:00:00:00","00:00:04:14","00:00:04:14","Apple ProRes 422 HQ","25.000","1920x1080","","","",""
"2803","","","V4","C","","00:05:36:15","00:05:37:11","01:49:50:17","01:49:51:13","221529-05","","00:00:00:00","00:07:31:13","00:07:31:13","H.264","25.000","720x540","Green","","",""
"2804","","","V4","C","","00:06:05:21","00:06:06:14","01:49:51:13","01:49:52:06","221529-05","","00:00:00:00","00:07:31:13","00:07:31:13","H.264","25.000","720x540","Green","","",""
"2805","","","V4","C","","00:01:19:10","00:01:20:13","01:49:52:06","01:49:53:09","221529-05","","00:00:00:00","00:07:31:13","00:07:31:13","H.264","25.000","720x540","Green","","",""
"2806","","","A6","C","","00:00:02:23","00:00:19:05","01:49:53:04","01:50:09:11","Drone-Wind-02","","00:00:00:00","00:01:30:07","00:01:30:07","","25.000","","","","",""
